"accession_ID"	"Sample"	"dataset"	"Developmental_ssGSEA"	"Injury_ssGSEA"	"Classical_ssGSEA"	"Mesenchymal_ssGSEA"	"Proneural_ssGSEA"	"Developmental_pval_ssGSEA"	"Injury_pval_ssGSEA"	"Classical_pval_ssGSEA"	"Mesenchymal_pval_ssGSEA"	"Proneural_pval_ssGSEA"	"Wang_2017"	"Richards_2021"
"GSM3384843"	"GSC6"	"GSE119834"	1319.78852847875	-268.621470166064	1416.96313417864	-979.98379452359	406.20429142264	0.000999000999000999	1	0.030969030969031	0.999000999000999	0.461538461538462	"CL"	"DEV"
"GSM3384844"	"GSC7"	"GSE119834"	2610.91544692413	-1912.56163414254	2847.20762855565	-2838.4351034577	993.911011733622	0.000999000999000999	1	0.000999000999000999	1	0.0789210789210789	"CL"	"DEV"
"GSM3384845"	"GSC8"	"GSE119834"	2134.29780888528	-1111.52607447047	3262.87650618059	-2746.29685796397	-470.324213390772	0.000999000999000999	1	0.000999000999000999	1	0.97002997002997	"CL"	"DEV"
"GSM3384846"	"GSC9"	"GSE119834"	1882.87769137029	-1174.26394766838	1484.15640519054	-2420.3714209874	659.728057633017	0.000999000999000999	1	0.018981018981019	1	0.266733266733267	"CL"	"DEV"
"GSM4075051"	"BTSC211"	"Freiburg"	-689.142545703221	1606.63300384884	-1261.22763911222	1532.03009921589	-208.242347826243	1	0.000999000999000999	1	0.000999000999000999	0.922077922077922	"MES"	"INJ"
"GSM4075052"	"BTSC23"	"Freiburg"	824.004139928017	-363.662771720973	251.265244371764	-1565.24077470635	-211.974295458334	0.001998001998002	1	0.836163836163836	1	0.923076923076923	"CL"	"DEV"
"GSM4075053"	"BTSC66"	"Freiburg"	1336.17583314666	-578.659784169785	861.081228274872	-2062.37674451848	-258.419214391407	0.000999000999000999	1	0.340659340659341	1	0.933066933066933	"CL"	"DEV"
"GSM4075054"	"BTSC71"	"Freiburg"	-350.355098471514	762.583917376509	-943.032742255589	-290.535161528799	228.718326288937	1	0.000999000999000999	1	0.939060939060939	0.632367632367632	"PN"	"INJ"
"GSM4075055"	"BTSC217"	"Freiburg"	641.027235285419	-175.138065672699	-1475.65297601479	-551.638345644533	509.342289519155	0.270729270729271	1	1	0.981018981018981	0.364635364635365	"PN"	"DEV"
"GSM4075056"	"BTSC145"	"Freiburg"	398.593986617515	363.775505922422	-85.498766981237	-220.092347200093	-656.69804433936	0.997002997002997	0.957042957042957	0.962037962037962	0.919080919080919	0.987012987012987	"MES"	"INJ"
"GSM4075057"	"BTSC161"	"Freiburg"	116.415651064357	499.925460323167	-1432.62616902983	-15.1350172127539	364.245651751316	1	0.351648351648352	1	0.815184815184815	0.495504495504495	"PN"	"INJ"
"GSM4075058"	"BTSC205"	"Freiburg"	-672.337317175787	1776.75739128963	-1164.116157051	3116.27008898698	-417.363281740192	1	0.000999000999000999	1	0.000999000999000999	0.961038961038961	"MES"	"INJ"
